FBgn0029807	7	7	0
FBgn0029804	9	9	0
FBgn0013987	730	0	730
FBgn0029800	44	0	60
FBgn0261383	328	0	328
FBgn0052758	596	1	595
FBgn0053080	15	0	15
FBgn0027564	160	2	171
FBgn0029789	133	0	133
FBgn0046687	265	10	256
FBgn0015794	144	0	144
FBgn0029783	1	0	38
FBgn0029824	246	17	229
FBgn0029825	159	1	158
FBgn0052756	53	0	53
FBgn0029826	15	0	15
FBgn0052755	1	0	1
FBgn0029827	1	0	1
FBgn0029828	1	0	2
FBgn0029830	19	0	19
FBgn0029831	21	2	19
FBgn0029833	177	0	177
FBgn0029834	28	0	28
FBgn0029835	1	0	1
FBgn0029843	1	8	1
FBgn0029849	233	7	226
FBgn0003514	1271	5	1266
FBgn0029848	1	0	1
FBgn0040069	0	0	0
FBgn0052751	0	0	0
FBgn0052750	0	0	0
FBgn0026060	4	0	21
FBgn0029840	327	0	348
FBgn0029839	1	0	1
FBgn0029838	0	0	0
FBgn0029837	63	0	63
FBgn0003302	35	0	35
FBgn0029003	1143	2	1141
FBgn0027546	68	1	67
FBgn0005390	9	2	8
FBgn0029851	1	0	1
FBgn0015818	165	0	165
FBgn0029853	66	6	60
FBgn0028982	827	7	824
FBgn0029857	140	2	148
FBgn0029858	72	3	95
FBgn0029861	240	1	239
FBgn0029863	1	0	1
FBgn0029864	0	0	0
FBgn0029866	25	0	25
FBgn0029867	266	5	284
FBgn0052748	0	0	0
FBgn0029873	185	11	198
FBgn0014031	6	2	4
FBgn0000524	187	3	184
FBgn0014026	15105	6	15099
FBgn0029874	93	17	99
FBgn0003139	250	0	250
FBgn0003655	80	1	80
FBgn0016974	8	0	8
FBgn0029868	202	24	201
FBgn0043796	76	1	75
FBgn0028685	399	8	401
FBgn0026015	288	0	288
FBgn0041250	0	0	0
FBgn0031279	0	0	0
FBgn0051658	43	0	43
FBgn0031282	32	0	40
FBgn0015621	110	0	110
FBgn0010583	498	3	495
FBgn0020545	756	2	754
